kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
20000,Prov. Jawa Barat,20600,Kab. Sukabumi,20618,Kec. Sukabumi,20247075,SMP TERPADU AL GHIFARI SUKABUMI,SMP,S,"Jl. Selabintana Km 6,7",-6.874636,106.949745
20000,Prov. Jawa Barat,20700,Kab. Cianjur,20710,Kec. Pagelaran,20204903,SD NEGERI CIADEG,SD,N,Jl. Raya Pagelaran Desa Pagelaran Kec. Pagelaran Kab. Cianjur,-7.1135,107.0635
20000,Prov. Jawa Barat,26600,Kota Depok,26610,Kec. Tapos,20228770,SD NEGERI KEBAYUNAN,SD,N,Jl. Kebayunan-Leuwinanggung RT. 003/19,-6.40592,106.892285
20000,Prov. Jawa Barat,26000,Kota Bandung,26001,Kec. Bandung Kulon,20244842,SD NEGERI CIJERAH 2,SD,N,Jl. Cijerah No. 122,-6.9338,107.5653
20000,Prov. Jawa Barat,26500,Kota Bekasi,26504,Kec. Bekasi Timur,20223105,SMP AL WATHONIYAH,SMP,S,Jl. KH. Mas Mansyur No. 76 Bekasi Mede,-6.2375,107.0126
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22314,Kec. Cikalong Wetan,20208083,SD NEGERI 2 CIKALONGWETAN,SD,N,Kp. Sirnagalih RT.02 RW.02,-6.7354,107.4357
20000,Prov. Jawa Barat,26600,Kota Depok,26609,Kec. Cinere,20223825,SLB BC MANUNGGAL BHAKTI,SLB,S,JL.H.SALEH No. 1 RT.07 RW 07,-6.322935,106.795925
20000,Prov. Jawa Barat,21700,Kab. Cirebon,21725,Kec. Pabedilan,20214882,SMP NEGERI 1 PABEDILAN,SMP,N,Jalan Mayjend Sutoyo No. 159,-6.8498,108.7547
20000,Prov. Jawa Barat,20800,Kab. Bandung,20808,Kec. Paseh,20205036,SDN NANGELA,SD,N,Kp. Cipaku,-7.1075,107.4259
20000,Prov. Jawa Barat,20500,Kab. Bogor,20509,Kec. Caringin,20253931,SMPS TARBIYATUL HUDA,SMP,S,Jl. Veteran I Kp. Legok Nyenang RT 01/09,-6.72,106.8663
20000,Prov. Jawa Barat,20600,Kab. Sukabumi,20601,Kec. Ciemas,20202879,SD NEGERI BIHBUL,SD,N,Jalan Raya Bihbul,-7.1455,106.4836
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22304,Kec. Cililin,20267650,SMKS PUSAT TEKNOLOGI CILILIN,SMK,S,RAYA CILILIN NO 22 A,-6.9474,107.4672
20000,Prov. Jawa Barat,21600,Kab. Majalengka,21614,Kec. Jatiwangi,20246224,SD NEGERI JATIWANGI I,SD,N,Jln Lanud S Sukani No. 235,-6.7251,108.2531
20000,Prov. Jawa Barat,20600,Kab. Sukabumi,20640,Kec. Purabaya,20202481,SD NEGERI PUSPADAYA,SD,N,Puspa,-7.088901,106.942284
