kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
30000,Prov. Jawa Tengah,32000,Kab. Jepara,32013,Kec. Kalinyamatan,20318348,SD NEGERI TELUK KULON,SD,N,Jl.Purwogondo-Guwosobokerto,-6.7365,110.7104
30000,Prov. Jawa Tengah,31500,Kab. Grobogan,31511,Kec. Tawangharjo,20314405,SD NEGERI 2 JONO,SD,N,Jono,-7.090317,110.981372
30000,Prov. Jawa Tengah,36300,Kota Semarang,36303,Kec. Banyumanik,20329396,SD NEGERI BANYUMANIK 03,SD,N,Jl. Bangun Harjo Barat,-7.0761,110.4093
30000,Prov. Jawa Tengah,32100,Kab. Demak,32108,Kec. Wonosalam,69756201,SMKS AL MADINA,SMK,S,GANG KRANDON RT 3/ RW 4,-6.9016,110.6489
30000,Prov. Jawa Tengah,32100,Kab. Demak,32113,Kec. Wedung,20319357,SMP NEGERI 2 WEDUNG,SMP,N,Desa Tedunan,-6.718042,110.6533163
30000,Prov. Jawa Tengah,30300,Kab. Purbalingga,30312,Kec. Bobotsari,20303028,SD NEGERI 2 KARANGTALUN,SD,N,Jl. Desa Karangtalun,-7.3014,109.3795
30000,Prov. Jawa Tengah,31200,Kab. Wonogiri,31216,Kec. Sidoharjo,20311854,SD N 1 TREMES,SD,N,Tremes,-7.830841,111.089739
50000,Prov. Jawa Timur,51800,Kab. Malang,51822,Kec. Pakisaji,20518711,SD ISLAM SUTOJAYAN,SD,S,"Jl. RAYA SUTOJAYAN, No.299 RT: 08 RW :01",-8.0737,112.6094
50000,Prov. Jawa Timur,51300,Kab. Kediri,51314,Kec. Grogol,20511847,SMP NEGERI 2 GROGOL,SMP,N,Jalan Raya Gringging,-7.7488,111.9716
50000,Prov. Jawa Timur,51700,Kab. Trenggalek,51705,Kec. Dongko,20542468,SMP NEGERI SATU ATAP 1 DONGKO,SMP,N,Dsn. Sobo RT 17 RW 03,-8.2175,111.6038
50000,Prov. Jawa Timur,50900,Kab. Ngawi,50906,Kec. Kwadungan,20509043,SD NEGERI DINDEN 2,SD,N,Dinden,-7.4857,111.4849
50000,Prov. Jawa Timur,52800,Kab. Sumenep,52825,Kec. Masalembu,20551892,SMAS DDI MASALEMBU,SMA,S,JL. PENDIDIKAN NO 1 AMBULUNG,-7.1285,114.775
50000,Prov. Jawa Timur,56000,Kota Surabaya,56022,Kec. Simokerto,20532498,SMP MUHAMMADIYAH 1,SMP,S,Jl. Kapasan 73-75 Surabaya,-7.2395,112.7497
50000,Prov. Jawa Timur,51700,Kab. Trenggalek,51702,Kec. Munjungan,20541984,SD NEGERI 1 MASARAN,SD,N,RT. 35 RW. 08 Desa Masaran,-8.3027,111.5551
50000,Prov. Jawa Timur,51500,Kab. Blitar,51520,Kec. Srengat,20514153,SD NEGERI SRENGAT 03,SD,N,Jalan Sidowayah,-8.0676,112.0638
130000,Prov. Kalimantan Barat,130400,Kab. Sintang,130412,Kec. Tempunak,30107695,SMP NEGERI 6 TEMPUNAK,SMP,N,JL.Lintas Saran,-0.3272,111.3247
130000,Prov. Kalimantan Barat,130800,Kab. Bengkayang,130804,Kec. Bengkayang,30108268,SMAN 2 BENGKAYANG,SMA,N,JL. SANGGAULEDO,0.8708597,109.5110744
130000,Prov. Kalimantan Barat,136000,Kota Pontianak,136006,Kec. Pontianak Tenggara,30105223,SMP AL MA ARIF,SMP,S,Jl.imam Bonjol Gg. Basir,-0.0436,109.3541
130000,Prov. Kalimantan Barat,130200,Kab. Mempawah,130210,Kec. Mempawah Hilir,30101519,SDN 10 MEMPAWAH HILIR,SD,N,Jl. Dg. Menambon,0.3425117,108.9635333
130000,Prov. Kalimantan Barat,130600,Kab. Ketapang,130611,Kec. Sungai Laur,30103865,SD NEGERI 10 SUNGAI LAUR,SD,N,Jl.Trans Kalimantan Kec. Sungai Laur,-0.9018,110.4396
130000,Prov. Kalimantan Barat,130900,Kab. Landak,130905,Kec. Mandor,69822724,SMAS BINA SETIA SEKILAP,SMA,S,SEKILAP-MANDOR,0.3759,109.5124
130000,Prov. Kalimantan Barat,130600,Kab. Ketapang,130601,Kec. Kendawangan,30103298,SD NEGERI 28 KENDAWANGAN,SD,N,Dusun Teluk Bayur,-2.4346,110.5202
130000,Prov. Kalimantan Barat,130100,Kab. Sambas,130109,Kec. Paloh,30100185,SDN 17 CEREMAI,SD,N,Dsn. Setinggak,1.8522,109.3706
150000,Prov. Kalimantan Selatan,150500,Kab. Hulu Sungai Selatan,150505,Kec. Kandangan,30301799,SMAN 3 KANDANGAN,SMA,N,JALAN KAMBOJA,-2.775585,115.26601
150000,Prov. Kalimantan Selatan,150900,Kab. Kota Baru,150908,Kec. Kelumpang Hilir,30303515,SDN Langadai,SD,N,Jl. H. Nasri Langadai,-3.2158,116.1526
150000,Prov. Kalimantan Selatan,150900,Kab. Kota Baru,150906,Kec. Pulau Laut Utara,30311707,SMPLB SUMBER ASIH,SMPLB,S,Jln. Panorama No. 11,-3.892219,116.125241
150000,Prov. Kalimantan Selatan,156000,Kota Banjarmasin,156005,Kec. Banjarmasin Tengah,30304212,SMP NEGERI 26,SMP,N,"Jl. Jend. A. Yani Km. 2,5 No.180",-3.3254,114.6034
150000,Prov. Kalimantan Selatan,150500,Kab. Hulu Sungai Selatan,150509,Kec. Daha Selatan,30301659,SD NEGERI PARIGI 1,SD,N,Jalan Teluk Baru No. 100 RT. 05 RK. II,-2.6349,115.0802
150000,Prov. Kalimantan Selatan,156100,Kota Banjarbaru,156104,Kec. Banjarbaru Utara,30304592,SMKS YPK BANJARBARU,SMK,S,JL. SUKARELAWAN BANJARBARU,-3.438172,114.844037
150000,Prov. Kalimantan Selatan,150600,Kab. Hulu Sungai Tengah,150605,Kec. Barabai,30302092,SD NEGERI 2 PAJUKUNGAN,SD,N,Jl. Sandang Pangan,-2.5321,115.2762
150000,Prov. Kalimantan Selatan,151000,Kab. Balangan,151006,Kec. Halong,69900718,SMP NEGERI 6 HALONG SATU ATAP,SMP,N,DS. MAMANTANG KEC. HALONG,-2.3626899,115.7812824
140000,Prov. Kalimantan Tengah,140400,Kab. Kotawaringin Timur,140423,Kec. Antang Kalang,69787998,SDS ANWAR KARIM VII,SD,S,Antang Kalang,-1.7585,112.5659
